NO,JENIS_BENCANA,TANGGAL_KEJADIAN,PELAPOR,KECAMATAN,MUSIM,TAHUN
170,TANAH LONGSOR,2023-05-04,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
171,TANAH LONGSOR,2023-05-04,SURAT KEPALA DAERAH,JAMBU,KEMARAU,2023
172,TANAH LONGSOR,2023-05-04,WHATSAPP GROUP,JAMBU,KEMARAU,2023
173,TANAH LONGSOR,2023-05-04,SURAT KEPALA DAERAH,BANYUBIRU,KEMARAU,2023
174,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,JAMBU,KEMARAU,2023
175,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
176,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
177,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
178,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,SURUH,KEMARAU,2023
180,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,JAMBU,KEMARAU,2023
181,TANAH LONGSOR,2023-05-05,WHATSAPP GROUP,JAMBU,KEMARAU,2023
183,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,JAMBU,KEMARAU,2023
184,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,JAMBU,KEMARAU,2023
185,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,AMBARAWA,KEMARAU,2023
186,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,JAMBU,KEMARAU,2023
187,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,BANDUNGAN,KEMARAU,2023
188,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,BAWEN,KEMARAU,2023
189,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
190,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
191,TANAH LONGSOR,2023-05-06,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
192,TANAH LONGSOR,2023-05-07,WHATSAPP GROUP,SURUH,KEMARAU,2023
193,TANAH LONGSOR,2023-05-07,SURAT KEPALA DAERAH,AMBARAWA,KEMARAU,2023
194,TANAH LONGSOR,2023-05-08,SURAT KEPALA DAERAH,BANCAK,KEMARAU,2023
196,TANAH LONGSOR,2023-05-11,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
197,TANAH LONGSOR,2023-05-11,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
198,TANAH LONGSOR,2023-05-11,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
199,TANAH LONGSOR,2023-05-11,WHATSAPP GROUP,BANYUBIRU,KEMARAU,2023
209,TANAH LONGSOR,2023-05-24,WHATSAPP GROUP,GETASAN,KEMARAU,2023
355,TANAH LONGSOR,2023-09-20,SURAT KEPALA DAERAH,SUSUKAN,KEMARAU,2023
579,TANAH LONGSOR,2023-11-29,WHATSAPP GROUP,BAWEN,PENGHUJAN,2023
581,TANAH LONGSOR,2023-11-30,WHATSAPP GROUP,BAWEN,PENGHUJAN,2023
582,TANAH LONGSOR,2023-12-01,WHATSAPP GROUP,SUMOWONO,PENGHUJAN,2023
584,TANAH LONGSOR,2023-12-04,WHATSAPP GROUP,GETASAN,PENGHUJAN,2023
591,TANAH LONGSOR,2023-12-18,WHATSAPP GROUP,BRINGIN,PENGHUJAN,2023
